,employee_id,company_id,dept,seniority,salary,join_date,quit_date
0,1001444,8,temp_contractor,0,5850.0,2008-01-26,2008-04-25
1,388804.0,8,design,21,191000.0,05.17.2011,2012-03-16
2,407990.0,3,design,9,90000.0,2012-03-26,2015-04-10
3,120657.0,2,engineer,20,298000.0,2013-04-08,2015-01-30
4,1006393,1,temp_contractor,0,8509.0,2008-07-20,2008-10-18
5,287530.0,5,marketing,20,180000.0,2014-06-30,
6,561043.0,3,customer_service,18,119000.0,2012-07-02,2014-03-28
7,702479.0,7,data_science,7,140000.0,12.27.2011,2013-08-30
8,545690.0,10,data_science,16,238000.0,12.23.2013,
9,622587.0,5,sales,28,166000.0,2015-07-01,
10,430126.0,2,data_science,3,77000.0,2015-08-03,
11,838072.0,3,data_science,13,162000.0,2011-10-03,2012-08-10
12,205557.0,8,customer_service,17,109000.0,2013-07-22,2014-07-18
13,554514.0,1,customer_service,4,33000.0,2013-04-15,2015-04-24
14,14751.0,7,design,18,162000.0,2012-04-30,2014-02-14
15,602443.0,3,sales,16,150000.0,2011-09-12,2013-07-19
16,488083.0,1,engineer,8,,2011-06-13,2013-06-07
17,1007464,7,temp_contractor,0,7748.0,2009-11-14,2010-02-12
18,1002775,3,temp_contractor,0,7424.0,2008-01-14,2008-04-13
19,581423.0,6,marketing,1,35000.0,2012-01-09,2015-06-12
20,1000103,5,temp_contractor,0,9684.0,2008-05-18,2008-08-16
21,34604.0,2,design,29,224000.0,2015-09-08,
22,1008116,4,temp_contractor,0,9865.0,2010-10-03,2011-01-01
23,182278.0,1,sales,19,179000.0,09.19.2011,2012-11-02
24,1003092,2,temp_contractor,0,5459.0,2009-09-23,2009-12-22
25,296069.0,2,engineer,16,308000.0,2012-01-03,
26,1007778,7,temp_contractor,0,6749.0,2007-02-14,2007-05-15
27,612255.0,7,customer_service,6,66000.0,2015-03-23,
28,28269.0,2,sales,9,153000.0,2011-08-29,2012-08-03
29,904543.0,2,data_science,17,314000.0,2013-11-25,
30,289336.0,3,design,6,111000.0,2012-12-24,2015-06-26
31,591606.0,1,customer_service,22,123000.0,2015-08-24,
32,505031.0,8,engineer,15,229000.0,2013-09-09,
33,1006601,8,temp_contractor,0,9051.0,2008-03-11,2008-06-09
34,855236.0,2,engineer,19,309000.0,01.17.2012,
35,543068.0,5,sales,1,42000.0,2012-08-14,2013-08-02
36,282308.0,4,data_science,14,130000.0,2014-04-11,
37,1005290,2,temp_contractor,0,9723.0,2008-09-19,2008-12-18
38,643275.0,3,customer_service,3,21000.0,06.13.2011,2012-06-08
39,115980.0,3,marketing,6,100000.0,04.09.2012,2013-04-26
40,1006290,4,temp_contractor,0,9512.0,2008-10-13,2009-01-11
41,259298.0,1,engineer,9,,11.07.2011,2015-10-16
42,1007928,10,temp_contractor,0,6538.0,2009-12-28,2010-03-28
43,13088.0,2,customer_service,4,34000.0,2015-09-21,
44,1004117,10,temp_contractor,0,8052.0,2007-05-17,2007-08-15
45,1002404,10,temp_contractor,0,7998.0,2009-09-13,2009-12-12
46,975096.0,1,customer_service,16,125000.0,2015-04-27,
47,432323.0,7,engineer,20,236000.0,2013-12-02,
48,921758.0,2,engineer,9,216000.0,2014-04-08,2015-01-02
49,301501.0,7,customer_service,29,93000.0,05.27.2014,2015-04-10
50,1000649,9,temp_contractor,0,5289.0,2009-12-07,2010-03-07
51,1007529,9,temp_contractor,0,8112.0,2010-05-20,2010-08-18
52,810713.0,1,customer_service,15,120000.0,01.20.2015,
53,1004452,10,temp_contractor,0,6295.0,2010-01-25,2010-04-25
54,860270.0,1,sales,27,182000.0,2015-08-11,
55,1001531,9,temp_contractor,0,5244.0,2008-02-02,2008-05-02
56,403237.0,7,engineer,10,161000.0,2015-11-25,
57,1009511,7,temp_contractor,0,6118.0,2007-05-04,2007-08-02
58,785011.0,3,customer_service,23,97000.0,07.21.2014,2015-07-30
59,368442.0,2,engineer,12,221000.0,05.31.2011,2012-06-29
60,1007380,9,temp_contractor,0,8596.0,2007-12-05,2008-03-04
61,161106.0,1,data_science,13,178000.0,2012-03-26,2014-03-28
62,163690.0,4,marketing,26,156000.0,2011-04-11,2012-04-13
63,712062.0,3,marketing,26,147000.0,2014-04-21,2015-03-20
64,337031.0,5,customer_service,20,90000.0,2013-04-01,
65,261507.0,3,engineer,17,253000.0,2015-06-29,
66,625436.0,2,customer_service,23,113000.0,2012-08-23,2014-10-17
67,722980.0,3,engineer,24,265000.0,03.05.2012,
68,164662.0,1,engineer,12,196000.0,04.03.2013,2014-03-28
69,495487.0,1,marketing,8,117000.0,10.01.2012,
70,893950.0,5,sales,24,171000.0,2015-06-01,
71,586308.0,3,data_science,7,180000.0,2015-10-19,
72,362702.0,1,engineer,8,176000.0,2015-12-07,
73,1005714,2,temp_contractor,0,7589.0,2007-06-28,2007-09-26
74,1004725,7,temp_contractor,0,7578.0,2007-10-12,2008-01-10
75,1009499,4,temp_contractor,0,8795.0,2010-02-28,2010-05-29
76,1006018,2,temp_contractor,0,5015.0,2008-06-23,2008-09-21
77,813105.0,1,customer_service,18,116000.0,11.26.2012,2013-09-13
78,521684.0,1,engineer,27,311000.0,2011-05-23,2013-06-14
79,484300.0,1,data_science,8,224000.0,2012-01-03,2013-12-20
80,435466.0,4,customer_service,4,21000.0,12.30.2013,
81,1007354,8,temp_contractor,0,5766.0,2008-12-04,2009-03-04
82,344517.0,2,customer_service,23,131000.0,2013-08-05,2014-07-25
83,69924.0,1,sales,15,241000.0,05.31.2011,2014-03-28
84,948118.0,8,design,20,139000.0,08.28.2014,2015-09-04
85,379085.0,7,data_science,15,202000.0,2015-04-07,
86,251016.0,5,data_science,26,240000.0,06.24.2013,
87,688985.0,4,customer_service,26,90000.0,2011-06-27,2012-06-22
88,823737.0,3,customer_service,13,67000.0,2014-03-24,
89,1003589,5,temp_contractor,0,5130.0,2009-05-03,2009-08-01
90,1005568,9,temp_contractor,0,5902.0,2008-04-08,2008-07-07
91,101549.0,9,customer_service,9,49000.0,05.04.2015,
92,452432.0,1,sales,19,196000.0,2012-12-24,2015-01-02
93,205973.0,1,marketing,9,116000.0,2015-03-23,
94,359450.0,1,engineer,21,279000.0,2015-09-14,
95,402859.0,1,marketing,28,219000.0,2014-07-14,
96,807138.0,2,customer_service,7,76000.0,2012-03-05,2013-02-01
97,122238.0,7,design,10,96000.0,03.10.2014,2014-12-12
98,1005531,6,temp_contractor,0,9235.0,2009-10-24,2010-01-22
99,634259.0,2,engineer,9,181000.0,2014-09-15,
100,1002758,10,temp_contractor,0,9113.0,2008-05-05,2008-08-03
101,732641.0,1,data_science,11,176000.0,2012-01-30,2014-12-03
102,1001827,6,temp_contractor,0,7865.0,2008-11-18,2009-02-16
103,583657.0,1,customer_service,26,122000.0,2012-01-31,2015-02-06
104,18199.0,1,marketing,28,174000.0,2011-04-11,2012-05-11
105,1002744,5,temp_contractor,0,5169.0,2009-04-14,2009-07-13
106,77809.0,2,marketing,16,173000.0,2013-06-24,
